premise,hypothesis,label,idx
Focus of the project will be on municipal and industrial solid waste composting and reuse.,Industrial processes and product use: Solid waste disposal; Biological treatment of solid waste; incineration and open burning of waste; Wastewater treatment and discharge; Other.,0,1633
Focus of the project will be on waste to production.,industrial processing and product use in major large scale industries.,0,1634
Focus of the project will be on railroad equipment building.,"Infrastructure and superstructure facilities are planned, designed, implemented and maintained properly and are long-lasting.",0,1635
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,Initiate  develop projects that promote the use of alternative and or non-wood energy sources,0,1636
"Focus of the project will be on investing in collapsible intermodal container and  to its drastic improvements in container intermodal transportation efficiency, the company has the potential to substantially contribute to sectoral carbon emission reduction on land, in port, and at sea. ","Initiatives are being looked at to utilise green technology across the land, aviation and maritime transport sectors which will improve energy efficiency and reduce carbon emissions, as well as embed greener operations.� Though foldable containers are not specifically mentioned in this document, they qualify as a technology improving energy efficiency.",1,1637
Focus of the project will be on brackish ground-water desalination.,"Innovative desalination plant in Djibouti, fuelled by renewable energies: This project aims to construct a desalination plant in the capital city in order to respond directly to drinking water supply needs. This new plant, which will have a capacity of 22,500 m daily, easily expandable to m , will be fuelled by renewable energy, which is expected to be provided by a wind farm planned for the second phase of the project.",0,1638
Focus of the project will be on ocean water desalination.,"Innovative desalination plant in Djibouti, fuelled by renewable energies: This project aims to construct a desalination plant in the capital city in order to respond directly to drinking water supply needs. This new plant, which will have a capacity of 22,500 m daily, easily expandable to m , will be fuelled by renewable energy, which is expected to be provided by a wind farm planned for the second phase of the project.",1,1639
Focus of the project will be on ballast water treatment.,Innovative technologies for treating wastewater implemented.,0,1640
Focus of the project will be on domestic and industrial waste water treatment plants.,Innovative technologies for treating wastewater implemented.,1,1641
Focus of the project will be on port waste and wastewater treatment.,Innovative technologies for treating wastewater implemented.,0,1642
Focus of the project will be on potable water treatment plants.,Innovative technologies for treating wastewater implemented.,0,1643
"Focus of the project will be on use of biogases from anaerobic fermentation (e.g. landfill gas, sewage sludge gas, fermentation of energy crops and manure) and thermal processes (also known as syngas).",Inputs: Forest survey and inventory tools; Transport and operating cost; Natural and artificial regeneration tools; Camping equipment; Stationery and administrative supplies; Liquid fuel (LPG) and other bio-fuels ( ethanolmethaneoils ).,0,1644
Focus of the project will be on supply of agricultural machinery/equipment.,"Inputs: irrigation and drainage equipment, and materials; Trained manpower (Engineers, technicians, extension staff and farmers); Basic farm tools; Other farm inputs (fertilizers, seeds, chemicals, credit, and regular supervision); Processing,  marketing and storage facilities, transportation; Survey equipment (soil, hydrology); Camping equipment and other facilities; formation on weather and climate.",1,1645
Focus of the project will be on railroad equipment building.,"Inputs: Survey equipment; Vehicles, maintenance  and running cost; Photo - interpretation and mapping equipment Data processing equipment; Field inventory equipment; Stationery and supplies.",0,1646
Focus of the project will be on railroad equipment building.,"Inputs: Survey equipment; Vehicles, maintenance  and running cost; Photo - interpretation and mapping equipment; Data processing equipment; Field inventory equipment; Stationery and supplies.",0,1647
Focus of the project will be on water reuse.,Inrease the level of water recycling for industrial and domestic needs.,1,1648
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.",Inreased seawater intrusion into coastal rivers affecting water quality and challenging water treatment and potable water supply services.,1,1649
Focus of the project will be on decentralized water treatment.,Install community water purification systems and procure requisite equipment e.g. testing kits.,1,1650
Focus of the project will be on large sanitation systems.,Install community water purification systems and procure requisite equipment e.g. testing kits.,0,1651
Focus of the project will be on prevention of water contamination.,Install community water purification systems and procure requisite equipment e.g. testing kits.,1,1652
Focus of the project will be on large scale sewerage including trunk sewers and sewage pumping stations.,Install large scale sanitation and drainage technologies in the affected localities. Evaluate the impact of the improved sanitation and drainage technologies.,1,1653
Focus of the project will be on fishing boats building.,Install mooring buoys to provide alternative anchoring systems and protect the reef.,0,1654
Focus of the project will be on ballast water treatment.,"Install new, upgrade and extend existing waste water treatment facilities.",0,1655
Focus of the project will be on domestic and industrial waste water treatment plants.,"Install new, upgrade and extend existing waste water treatment facilities.",1,1656
Focus of the project will be on port waste and wastewater treatment.,"Install new, upgrade and extend existing waste water treatment facilities.",0,1657
Focus of the project will be on water treatment facilities.,"Install new, upgrade and extend existing waste water treatment facilities.",0,1658
Focus of the project will be on ballast water treatment.,Install one clean water conveyance system by photovoltaic pumping in the area of Bugesera.,0,1659
Focus of the project will be on water supply pumping stations.,Install one clean water conveyance system by photovoltaic pumping in the area of Bugesera.,1,1660
Focus of the project will be on energy production and electricity generation from landfill gas capture.,Install waste to energy incinerators to generate up to number gwh of electricity per year.,1,1661
Focus of the project will be on bulk water supply.,Install water meters for all consumers (bulk and low volume).,0,1662
Focus of the project will be on water resources data collection.,Installation of a national water data bank.,1,1663
Focus of the project will be on water utility companies.,Installation of a technical body to coordinate the water sector.,0,1664
Focus of the project will be on decarbonization of port handling and rolling equipment.,Installation of bridges and or flotation for embarkations.,0,1665
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.",Installation of number mw wind power facilities.,0,1666
Focus of the project will be on large scale sewerage including trunk sewers and sewage pumping stations.,Installation of rainwater harvesting systems in hospitals and other key institutions.,0,1667
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.",Installation of solar-powered aerobic septic tank systems and other appropriate sanitation technologies for improving public health and ensuring climate-resilient water supply and sanitation systems; and development of road and transport infrastructure.,1,1668
"Focus of the project will be on rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use.",Installing low-cost climate-resilient (e.g. raised) pond- and hand-pump systems to ensure water security in rural areas and to protect drinking water from contamination after extreme weather events.,1,1669
Focus of the project will be on decarbonization of coastal and inland shipping.,Institutional arrangements to control development on coastal areas exist but they are ineffective.,0,1670
Focus of the project will be on sustainable solutions for ports.,Institutional strengthening and capacity building for sustainable water management.,0,1671
Focus of the project will be on sewerage networks.,Insufficiency of sewage system which contribute to pollution of surface  ground water.,1,1672
Focus of the project will be on afforestation for industrial and rural consumption.,Insurance schemes for crops and livestock.,0,1673
Focus of the project will be on large sanitation systems.,Integrate classification goals with municipal sanitation plans.,1,1674
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,"Integrated management of basins, rain water reservoirs for agro pastoral activities.",1,1675
Focus of the project will be on water transport.,Integrated water resources management (including rainwater).,0,1676
Focus of the project will be on water transport.,Integrated water resources management (iwrm including rainwater).,0,1677
Focus of the project will be on decentralized water distribution.,Integrated water resources management by a small hydrological unit.,1,1678
Focus of the project will be on water transport.,Integrated water resources management by a small hydrological unit.,0,1679
"Focus of the project will be on sustainable management of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Integrated wetland management in terai through innovative mechanisms like facilitating the governance of ecosystem services.,1,1680
Focus of the project will be on sustainable solutions for ports.,Integrating CCA into new port design.,1,1681
Focus of the project will be on non-renewable waste-fired electric power plants.,Integration of renewable energy in the power system.,1,1682
Focus of the project will be on afforestation for industrial and rural consumption.,"Intensify and diversify agrarian production whilst facilitating access to inputs(organic fertilizers, seed for food crops and fodder resistant to drought and certified and approved phytosanitary products) and agrarian equipment.",0,1683
Focus of the project will be on integrated fishery projects.,"Intensify collaboration with development partners an land and marine) to strengthen community-based fisheries management, integrated sustainable resource management and development initiatives through ongoing fisheries programmes.",1,1684
Focus of the project will be on sewerage networks.,Intervention targets under the National Sanitary Development Plan Build infrastructures.,0,1685
Focus of the project will be on marine pollution control.,Interventions to reduce the vulnerability of marine ecosystems to climate change.,1,1686
Focus of the project will be on potable water treatment plants.,"Introduce  appropriate  plant  material  in  association  with  water,  soil  and management practices.",0,1687
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.",Introduce high efficient motors for the entire industrial sector.,0,1688
Focus of the project will be on marine pollution control.,Introduce marine and infrastructure protected areas.,1,1689
Focus of the project will be on flood prevention and control.,"Introduce methods to tackle and prevent flood protection, disaster prevention actions; and maintenance of flood control structures.",1,1690
Focus of the project will be on food crop production.,Introduce new technologies  to increase local food production.,1,1691
Focus of the project will be on agricultural water resources.,Introduce suitable water harvesting techniques into the area.,0,1692
Focus of the project will be on brackish ground-water desalination.,Introduce suitable water harvesting techniques into the area.,0,1693
Focus of the project will be on nutrient extraction.,Introduce suitable water harvesting techniques into the area.,0,1694
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,Introducing energy generation by waste (waste to energy programmes).,1,1695
Focus of the project will be on energy production and electricity generation from landfill gas capture.,Introducing energy generation by waste (waste to energy programmes).,1,1696
Focus of the project will be on non-renewable waste-fired electric power plants.,Introducing energy generation by waste (waste to energy programmes).,1,1697
Focus of the project will be on solid waste to electricity generation.,Introducing energy generation by waste (waste to energy programmes).,1,1698
"Focus of the project will be on use of waste-fired power plants making use of biodegradable municipal waste (household waste and waste from companies and public services that resembles household waste, collected at installations specifically designed for their disposal with recovery of combustible liquids, gases or heat).",Introducing energy generation by waste (waste to energy programmes).,1,1699
Focus of the project will be on waste to production.,Introducing energy generation by waste (waste to energy programmes).,1,1700
Focus of the project will be on wastewater to electricity generation.,Introducing energy generation by waste (waste to energy programmes).,1,1701
Focus of the project will be on wastewater to electricity generation.,Introducing renewable energy as a source to supply water systems.,0,1702
Focus of the project will be on afforestation for industrial and rural consumption.,Introduction of agroforestry in areas vulnerable to climate change to enhance agriculture production as well as empower vulnerable communities through their involvement in community forests activities and products.,1,1703
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.",Introduction of ch4 capture and burning in final disposal systems of solid urban waste (with and without electric power generation): NUMBER of urban solid waste generated placed in final disposal sites with this technology.,1,1704
Focus of the project will be on solid waste to electricity generation.,Introduction of ch4 capture and burning in final disposal systems of solid urban waste (with and without electric power generation): NUMBER of urban solid waste generated placed in final disposal sites with this technology.,1,1705
Focus of the project will be on fish stock protection.,"Introduction of fish ponds; establishing, legalization and regulation of fish resource exploitation.",1,1706
Focus of the project will be on navigation or guidance systems building.,"Introduction of navigation orientation instruments, portable and easy to manipulate.",1,1707
Focus of the project will be on railroad equipment building.,Introduction of new types of houses construction.,0,1708
Focus of the project will be on biofuel-fired power plants.,"Introduction of renewable energy (solar, eolic, biomass).",0,1709
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,"Introduction of renewable energy (solar, eolic, biomass).",0,1710
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,"Introduction of renewable energy (solar, eolic, biomass).",1,1711
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,"Introduction of renewable energy (solar, eolic, biomass, etc.)",0,1712
Focus of the project will be on non-renewable waste-fired electric power plants.,"Introduction of renewable energy (solar, eolic, biomass, etc.)",1,1713
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,"Introduction of renewable energy (solar, eolic, biomass, etc.)",1,1714
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,"Introduction of renewable energy (solar, wind and biomass).",0,1715
Focus of the project will be on supply of fertilizers for agricultural use.,"Introduction of slow-release fertilizers and or adjustments in the timing of fertilizer application in at least NUMBER of the area of winter agricultural crops, including corn and sorghum towards crease by NUMBER in the native forest area (42,500 additional ha) by NUMBER seeking to reverse degradation processes.",1,1716
Focus of the project will be on food crop production.,Introduction of technologies which increase crop production.,1,1717
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).",Introduction of technologies which increase crop production.,1,1718
Focus of the project will be on afforestation for integrated forestry projects.,Introduction of various agro forestry systems in the existing farming systems.,1,1719
Focus of the project will be on basic sanitation.,Introduction of water purification programmes; Promotion of use of sanitary services.,1,1720
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.",Introduction of water purification programmes; Promotion of use of sanitary services.,1,1721
Focus of the project will be on prevention of water contamination.,Introduction of water purification programmes; Promotion of use of sanitary services.,1,1722
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.",Introduction of water quality monitoring systems.,0,1723
Focus of the project will be on improving the protection of marine and coastal ecosystems by offering a port-based technical solution to treat ballast water of vessels,"Invasive species can alter marine ecosystems by: disrupting native habitats, causing the extinction of flora and fauna (by consumption and out-competing for space and resources, overwhelming important vulnerable ecosystems such as coral reefs and mangroves, decreasing water quality, increasing competition and predation among species, spreading disease",1,1724
Focus of the project will be on ballast water treatment.,Invest in technologies to reduce discharges of ballistic water into water bodies.,1,1725
Focus of the project will be on ballast water treatment.,Invest in technologies to reduce discharges of pollution loads into water bodies.,0,1726
Focus of the project will be on fish stock protection.,"Investigate agriculture fishing insurance options and new risk transfer instruments, develop respective policies and incentives.",0,1727
Focus of the project will be on afforestation for industrial and rural consumption.,Investment in annual crops and home garden vegetables.,0,1728
Focus of the project will be on collection and usage of quantitative and qualitative data on water resources.,"Investments in science, technology and innovation are needed for modelling and monitoring water resources availabilities, as will be discussed in more detail in Section 8.6.",1,1729
Focus of the project will be on afforestation for erosion control.,Involve local communities in discussions on good practices in fighting and preventing erosion.,0,1730
Focus of the project will be on agricultural water resources.,"Irrigation water is supplied by groundwater wells and springs. 60 million m3 of water was available for agriculture. Irrigation infrastructure is old and inefficient, under-developed or undeveloped.",1,1731
Focus of the project will be on decarbonization of coastal and inland shipping.,"Is currently hard to determine whether cases of erosion and progradation of the Brazilian coastline result from anthropogenic activities or are symptoms of long-term trends associated with rising sea levels. This difficulty is primarily caused by lack of, or difficulty in accessing, long-term environmental monitoring data, for example, on behaviour of average sea levels, weather data on interactions of the ocean and coastal zone, direct information on wave heights, changes in coastal and proximal continental shelf morphology up to a depth of NUMBER meters (NEVES  MUEHE, Generally speaking, erosion is a natural process that may be accelerated or attenuated by construction of man- made coastline artefacts associated with urbanisation. Erosion is considered an impact when it affects man-made structures on the coastline. Settlement in intertidal zones represents a failure to respect the dynamics of natural systems, leading to loss of beaches, infrastructures.",0,1732
Focus of the project will be on biofuel-fired power plants.,Is estimated that of the annual electricity production will be supplied from bio-diesel generation.,1,1733
Focus of the project will be on fishing boats building.,"Is possible to resort to artificial building up of the sea shores with sediment or to erect constructions, either parallel or perpendicular to the beach. These can be jetties similar to walls or even enrichment borders better able to absorb the energy of the waves.",0,1734
Focus of the project will be on on-shore power for ports.,"Is possible to resort to artificial building up of the sea shores with sediment or to erect constructions, either parallel or perpendicular to the beach. These can be jetties similar to walls or even enrichment borders better able to absorb the energy of the waves.",0,1735
Focus of the project will be on afforestation for desertification control.,"Is predicted that the climatic and environmental factors that engender rapid soil erosion, which include: high temperatures, scant vegetation cover, frequent bouts of droughts, rainstorms, strong winds and heavy snowfall and the subsequent melting thereof; will intensify and result in the acceleration of soil erosion and desertification.",0,1736
Focus of the project will be on sustainable solutions for ports.,Itiatives to reverse negative economic and ecological consequences to achieve sustainable use of coastal and marine resources cannot be overemphasized.,0,1737
"Focus of the project will be producing a drought-resistant crop that has many uses in the food sector as well as others; enhance and protect the marine ecosystem; encourage new and diverse livelihood options in the local area, and contribute to the reduction in use of land-based chemical fertilizers.","Kelp Blue lists the following as uses of their kelp production: soap production, human consumption, alginates, organic fertilizer in the form of dried kelp, animal feed supplements, and textile fibres",1,1738
Focus of the project will be on energy production and electricity generation from landfill gas capture.,Key next step is to analyze landfill gas emissions and evaluate the potential for landfill gas capture projects at the national landfill site.,0,1739
Focus of the project will be on landfill gas capture and destruction from landfills.,Key next step is to analyze landfill gas emissions and evaluate the potential for landfill gas capture projects at the national landfill site.,1,1740
Focus of the project will be on decarbonization of port handling and rolling equipment.,Knowledge and skills are available locally to rehabilitate and maintain industrial equipment.,0,1741
Focus of the project will be on recycling and recovery facilities.,Knowledge and skills are available locally to rehabilitate and maintain industrial equipment.,0,1742
Focus of the project will be on creation and sharing of water knowledge.,Knowledge of water resources in the context of climate change has been improved.,1,1743
Focus of the project will be on decarbonization of port handling and rolling equipment.,Label energy-saving equipment and issue national standards for the quality of equipment.,0,1744
"Focus of the project will be on developing, identify and disseminate climate resilient crop farming practices","Lack of information on the land-based agricultural production that Kelp Blue may displace, and on the long-term resilience of kelp growth off the coast of L�deritz",1,1745
Focus of the project will be on water concessions.,Lack of involvement of local landowners in management of water reserves.,0,1746
Focus of the project will be on water pumping.,Lack of periodical maintenance for water .,0,1747
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.","Land and water management at the watershed level- projects in ways that conserve land, water resources, Disaster management strategy  planning for food security and emergency supplies to vulnerable community based forest management and afforestation in wood production; realize afforestation of catchment areas and stabilization of unstable slopes; soll conservation techniques.",1,1748
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Land area restricted to conserve wetlands.,1,1749
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.",Land availability to implement several projects and construction of regional facilities.,0,1750
Focus of the project will be on afforestation for desertification control.,Land management practices to greater carbon sequestration.,0,1751
"Focus of the project will be on solid waste treatment, waste to production, recycling and recovery facilities.",Landfill ch4 recovery; waste incineration with energy recovery; composting of organic waste; controlled wastewater treatment; recycling and waste minimisation.,1,1752
Focus of the project will be on landfill gas capture and destruction from landfills.,"Landfilling waste in rmi could, if planned and managed well, deliver co-benefits such as creating new land or as part of coastal defenses. However, landfilling of organic waste will very likely be inconsistent with RMIs goal of net zero emissions by NUMBER because recovery of GHG emissions from landfill is technically difficult and resource intensive, generally requiring significant amounts of freshwater and soil.",1,1753
Focus of the project will be on energy production and electricity generation from landfill gas capture.,"Landfills are also a real challenge to the environment. Adoption of sanitary landfill with treatment facilities, gas collection and capture system will lead to mitigate GHG as such sanitary landfill is an essential and important solution for the land fill gas.",0,1754
Focus of the project will be on navigation or guidance systems building.,Landscape level corridor management in the terai.,0,1755
Focus of the project will be on non-renewable waste-fired electric power plants.,"Large scale and distributed grid connected solar, wind and hydroelectricity.",1,1756
Focus of the project will be on on-shore power for ports.,"Large scale and distributed grid connected solar, wind and hydroelectricity.",0,1757
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.","Large scale and distributed grid connected solar, wind and hydroelectricity.",0,1758
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,"Large scale and distributed grid connected solar, wind and hydroelectricity.",0,1759
Focus of the project will be on large sanitation systems.,Large water supply and sanitation systems are sustainably managed.,1,1760
Focus of the project will be on air pollution control.,Levels and biological impacts of air pollution including pollens and spores.,1,1761
Focus of the project will be on basic sanitation.,Levels of understanding and awareness on the importance of good hygiene and sanitation is increased.,1,1762
Focus of the project will be on improving the protection of marine and coastal ecosystems by offering a port-based technical solution to treat ballast water of vessels,"Likewise, the increased frequency of extreme weather events, such as floods and storms, will affect the safety and efficiency of fishing operations and cause more devastation and havoc in homes and infrastructure. Of course, attributing the causes of a change in biodiversity or in the structure of an ecosystem to climate change is not an easy task at the local level. Indeed, at this scale, the physicochemical variability, associated with physical phenomena such as the tide, turbulence or the proximity of an estuary or a delta, the constraints of sampling and the direct human impact (pollution, eutrophication) greatly complicate the situation. However, it is obvious that the fishery resources dependent on the coastal habitats of the Mandji Island will, like similar areas around the world, be affected by global climate change",1,1763
Focus of the project will be on landfill gas capture and destruction from landfills.,Limitations to this are likely arising from the available finance for high up-front cost. additional cost related to grid adjustments for this purpose is not considered in the analysis and would need to be assessed for higher shares of renewables. Methane capture in landfills also provides substantial mitigation potential at low cost. The associated cost is in the range of 0.34-0.36 UStCO2e.,1,1764
Focus of the project will be on collection and usage of quantitative and qualitative data on water resources.,Limited and basic data concerning groundwater tables.,1,1765
Focus of the project will be on water resources data collection.,Limited and basic data concerning groundwater tables.,1,1766
Focus of the project will be on basic drinking water supply.,Limited drinking-water and irrigation water supply .,1,1767
Focus of the project will be on bulk water supply.,Limited drinking-water and irrigation water supply .,1,1768
Focus of the project will be on potable water treatment plants.,Limited drinking-water and irrigation water supply .,1,1769
Focus of the project will be on decarbonization of coastal and inland shipping.,Livelihood for coastal communities  restored.,0,1770
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,"Local coastal zone management plans developed for different zones, using a participatory approach,.",0,1771
Focus of the project will be on domestic and industrial waste water treatment plants.,Local communities trained on best water-related health practices as well as waste water treatment practices for reducing residential wastes and to complement solar powered sanitation technologies.,0,1772
"Focus of the project will be on rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use.",Local communities trained on water saving practices for reducing water usage and waste to complement solar powered adaptation technologies.,0,1773
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,Local community empowerment and capacity building.,0,1774
Focus of the project will be on large scale sewerage including trunk sewers and sewage pumping stations.,Local conservation teams established to collect sewage from households and clean township areas.,0,1775
Focus of the project will be on brackish ground-water desalination.,Local knowledge and skills would be available to implement all options with the exception that water professionals would need to be trained to operate the large desalination plant.,0,1776
Focus of the project will be on water treatment facilities.,Local knowledge and skills would be available to implement all options with the exception that water professionals would need to be trained to operate the large desalination plant.,0,1777
Focus of the project will be on water utility companies.,Local organizations aware of and able to carry out more efficient water and energy planning and project implementation.,0,1778
Focus of the project will be on large sanitation systems.,"Local representatives trained to use, repair and maintain solar-powered sanitation systems.",0,1779
Focus of the project will be on decarbonization of coastal and inland shipping.,Loss of income from coastal industries.,0,1780
Focus of the project will be on fishing boats building.,Lost of craft fishermen (1-3 days).,0,1781
Focus of the project will be on shipbuilding.,Lost of craft fishermen (1-3 days).,0,1782
Focus of the project will be on atmospheric water generation.,"Low river flow water shortage studies impact on hydropower generation, drinking and irrigation water supply, etc.",0,1783
Focus of the project will be on large water supply systems.,"Low river flowwater shortage studies impact on hydropower generation, drinking and irrigation water supply, etc.",0,1784
Focus of the project will be on water pumping.,"Low river flowwater shortage studies impact on hydropower generation, drinking and irrigation water supply, etc.",0,1785
Focus of the project will be on water utility companies.,"Low river flowwater shortage studies impact on hydropower generation, drinking and irrigation water supply, etc.",0,1786
Focus of the project will be on food crop production.,Lower crop yields and risk of crop failure.,1,1787
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,MAFF will implement the project in collaboration with local authorities and NGOs.,0,1788
Focus of the project will be on afforestation for integrated forestry projects.,Main actions in forestry sector: integrated afforestation & reforestation and prevention of forest fires as well as improving means to fight them.,1,1789
Focus of the project will be on non-renewable waste-fired electric power plants.,Main actions in waste sector: Waste valorization ; Composting organic waste and green waste; Energy recovery and recycling of methane from landfill sites and waste water treatment plants.,1,1790
"Focus of the project will be on use of waste-fired power plants making use of biodegradable municipal waste (household waste and waste from companies and public services that resembles household waste, collected at installations specifically designed for their disposal with recovery of combustible liquids, gases or heat).",Main actions in waste sector: Waste valorization ; Composting organic waste and green waste; Energy recovery and recycling of methane from landfill sites and waste water treatment plants.,1,1791
Focus of the project will be on waste to production.,Main actions in waste sector: Waste valorization ; Composting organic waste and green waste; Energy recovery and recycling of methane from landfill sites and waste water treatment plants.,1,1792
Focus of the project will be on collection and usage of quantitative and qualitative data on water resources.,"Main outputs: Long-term hydrometeorology and other water resources-related data and information collected and compiled, including relevant catchmentwatershed information.",1,1793
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.",Mainstream chemical and waste management into national development programmes; and leverage donor support.,0,1794
Focus of the project will be on climate resilient port infrastructure.,"Mainstream climate change considerations into infrastructure design and planning (modern  traditional, EIA).",1,1795
Focus of the project will be on large sanitation systems.,Mainstream household waste management master plans and standardize them for all regions and provinces of the kingdom.,1,1796
Focus of the project will be on decarbonization of coastal and inland shipping.,Maintain international standards related to climate change in maritime transportation.,1,1797
Focus of the project will be on sustainable solutions for ports.,Maintain international standards related to climate change in maritime transportation.,1,1798
Focus of the project will be on decentralized water distribution.,Maintenance and provision of water infrastructure to communities to reduce humanwildlife conflict.,1,1799
Focus of the project will be on decentralized water treatment.,Maintenance and provision of water infrastructure to communities to reduce humanwildlife conflict.,0,1800
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.",Maintenance and rehabilitation of ecosystem of coastal areas and small islands.,1,1801
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Maintenance and rehabilitation of ecosystem of coastal areas and small islands.,0,1802
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.",Maintenance and rehabilitation of water resources in coastal areas and on small islands.,1,1803
Focus of the project will be on improving the protection of marine and coastal ecosystems by offering a port-based technical solution to treat ballast water of vessels,Major Impacts of Ballast Water Discharge: the extermination of local species; gradually effects native and regional biodiversity; adverse effects on public health directly; impacts on local economies based on fisheries; effects coastal industries that use water extraction,1,1804
Focus of the project will be on decarbonization of port handling and rolling equipment.,"Mal commercial port that handles more than 90 percent of the imported cargo. To increase the capacity and reduce the impacts of high winds and seas to the operation of the port, the commercial port would be relocated to a different island called Thilafushi.",0,1805
"Focus of the project will be on sustainable management of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Manage and conserve coastal mangrove ecosystem.,1,1806
"Focus of the project will be on sustainable protection of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Manage and conserve coastal mangrove ecosystem.,1,1807
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,"Manage and manufacture agricultural waste and safe recycling of residues instead of burning them, and taking advantage of solid waste and liquid residues in the production of alternative energy by establishing modern plants.",1,1808
"Focus of the project will be on solid waste treatment, waste to production, recycling and recovery facilities.","Manage and manufacture agricultural waste and safe recycling of residues instead of burning them, and taking advantage of solid waste and liquid residues in the production of alternative energy by establishing modern plants.",1,1809
"Focus of the project will be on use of waste-fired power plants making use of biodegradable municipal waste (household waste and waste from companies and public services that resembles household waste, collected at installations specifically designed for their disposal with recovery of combustible liquids, gases or heat).","Manage and manufacture agricultural waste and safe recycling of residues instead of burning them, and taking advantage of solid waste and liquid residues in the production of alternative energy by establishing modern plants.",1,1810
Focus of the project will be on afforestation for industrial and rural consumption.,Management and conservation of natural resources on which rural communities depend.,1,1811
Focus of the project will be on afforestation for exploitation and utilisation.,Management and utilization of Productive Areas ina Sustainable Manner.,0,1812
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.","Management of municipal solid wastes (msw) is a big challenge to existing and new urban establishments, resulting in the emission of GHGs.",1,1813
Focus of the project will be on municipal and industrial solid waste management (including hazardous and toxic waste).,"Management of municipal solid wastes (msw) is a big challenge to existing and new urban establishments, resulting in the emission of GHGs.",1,1814
"Focus of the project will be on sustainable management of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Management of quality of the environment of coastal areas and small islands in a sustainable manner.,0,1815
Focus of the project will be on integrated fishery projects.,"Management, rational exploitation and protection of fishery resources.",1,1816
Focus of the project will be on nutrient extraction.,Managing soil and water for increasing rice production in paddy fields.,0,1817
"Focus of the project will be on sustainable protection of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Managing watersheds and wetlands for climate change resilience related activities.,1,1818
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Managing watersheds and wetlands for climate change resilience related activities.,1,1819
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.",Managing watersheds and wetlands for climate change resilience.,1,1820
"Focus of the project will be on sustainable management of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Managing watersheds and wetlands for climate change resilience.,1,1821
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Managing watersheds and wetlands for climate change resilience.,1,1822
